train_name,train_number,current_station,next_station,distance_km,scheduled_travel_time_min,weather,congestion_level,historical_avg_delay_min,day_of_week,hour_of_day,actual_delay_min
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,116.4,116.4,Clear,Low,2.0,Fri,2,3.4
Tejas Express,22119,New Delhi,Kota Jn,23.9,23.9,Clear,Medium,0.5,Sat,22,7.2
Tejas Express,22119,Kota Jn,Ratlam Jn,78.4,78.4,Clear,High,15.2,Thu,10,24.2
Shatabdi Express,12009,Kota Jn,Ratlam Jn,48.0,48.0,Fog,Low,7.6,Wed,19,17.4
Shatabdi Express,12009,New Delhi,Kota Jn,114.9,114.9,Clear,High,7.6,Sun,20,24.3
Shatabdi Express,12009,Surat,Mumbai Central,45.0,45.0,Clear,Medium,15.5,Sun,7,22.6
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,56.1,56.1,Fog,Low,7.4,Wed,22,15.8
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,102.5,102.5,Clear,Low,9.2,Sat,22,2.3
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,129.6,129.6,Fog,Low,0.6,Wed,2,13.5
August Kranti Rajdhani,12953,Surat,Mumbai Central,133.9,133.9,Clear,Medium,7.9,Thu,4,18.0
Shatabdi Express,12009,Kota Jn,Ratlam Jn,52.1,52.1,Clear,Low,11.7,Thu,11,9.8
August Kranti Rajdhani,12953,Kota Jn,Ratlam Jn,86.2,86.2,Clear,Low,2.2,Sun,21,2.4
Tejas Express,22119,Surat,Mumbai Central,28.3,28.3,Clear,High,10.6,Sun,0,30.0
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,117.6,117.6,Fog,Low,5.9,Mon,23,14.5
Shatabdi Express,12009,Surat,Mumbai Central,119.1,119.1,Clear,Low,12.5,Fri,19,9.7
August Kranti Rajdhani,12953,Kota Jn,Ratlam Jn,68.6,68.6,Clear,High,18.4,Fri,10,33.4
Tejas Express,22119,New Delhi,Kota Jn,34.5,34.5,Clear,High,16.1,Tue,18,25.4
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,115.1,115.1,Rain,High,10.7,Sat,15,29.7
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,88.6,88.6,Fog,High,18.6,Sat,6,46.9
Shatabdi Express,12009,Vadodara Jn,Surat,149.4,149.4,Fog,Low,10.4,Tue,2,16.4
Shatabdi Express,12009,New Delhi,Kota Jn,96.5,96.5,Clear,Low,1.4,Tue,2,2.0
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,29.2,29.2,Clear,Medium,4.3,Fri,18,8.4
Tejas Express,22119,Kota Jn,Ratlam Jn,122.0,122.0,Rain,Low,1.9,Thu,13,8.2
Tejas Express,22119,New Delhi,Kota Jn,107.5,107.5,Heavy Rain,Low,8.1,Sun,3,27.4
August Kranti Rajdhani,12953,Kota Jn,Ratlam Jn,44.7,44.7,Clear,Low,5.6,Mon,14,0.3
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,104.8,104.8,Clear,Low,1.9,Tue,5,3.5
Tejas Express,22119,Vadodara Jn,Surat,82.6,82.6,Rain,High,3.3,Thu,8,24.6
Tejas Express,22119,Ratlam Jn,Vadodara Jn,75.0,75.0,Heavy Rain,High,11.1,Tue,6,52.8
Shatabdi Express,12009,Kota Jn,Ratlam Jn,145.9,145.9,Clear,Medium,15.0,Fri,15,13.1
August Kranti Rajdhani,12953,New Delhi,Kota Jn,144.9,144.9,Clear,Low,11.9,Tue,12,7.8
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,52.0,52.0,Clear,Medium,8.4,Fri,10,15.0
Shatabdi Express,12009,Kota Jn,Ratlam Jn,107.1,107.1,Clear,Low,2.6,Thu,10,2.8
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,79.6,79.6,Heavy Rain,High,1.5,Wed,4,42.9
Shatabdi Express,12009,New Delhi,Kota Jn,134.3,134.3,Clear,Low,16.7,Fri,20,10.3
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,58.9,58.9,Fog,High,2.7,Mon,23,32.6
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,56.6,56.6,Clear,Low,13.7,Fri,15,10.3
Shatabdi Express,12009,New Delhi,Kota Jn,32.0,32.0,Clear,Low,0.1,Sat,8,2.8
August Kranti Rajdhani,12953,Vadodara Jn,Surat,91.7,91.7,Clear,Low,1.5,Tue,17,4.5
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,95.7,95.7,Clear,Low,6.2,Sun,1,7.1
Shatabdi Express,12009,Kota Jn,Ratlam Jn,108.7,108.7,Fog,Low,11.2,Fri,23,24.3
August Kranti Rajdhani,12953,Kota Jn,Ratlam Jn,132.4,132.4,Heavy Rain,Medium,17.6,Sat,10,39.0
Tejas Express,22119,Kota Jn,Ratlam Jn,54.7,54.7,Fog,Low,17.4,Tue,6,27.3
